als	if
voet	foot
systeem	system
toets	test
boot	boat
goud	gold
mogelijk	possibly
vliegtuig	plane
lachen	laugh
duizend	thousand
geleden	back
controleren	control
spel	play
gelijk	right
warmte	warmth
sneeuw	snow
band	tyre
brengen	take
ja	yes
vullen	fill
oosten	east
schilderen	paint
taal	language
eenheid	unity
vliegen	rush
vallen	traps
leiden	lead
huilen	weep
donker	darkness
apparaat	machine
noot	nut
wachten	wait
plannen	plan
ster	star
doos	box
veld	field
rest	rest
juist	right
pond	pound
gedaan	done
schoonheid	beauty
rijden	ride
stond	stood
bevatten	understand
voorzijde	front
week	week
finale	final
groen	green
snel	swift
ontwikkelen	develop
oceaan	ocean
gratis	gratis
minuut	minute
speciaal	special
geest	spirit
achter	behind
duidelijk	precise
staart	tail
produceren	produce
feit	fact
ruimte	space
best	best
uur	hour
beter	better
tijdens	during
honderd	hundred
vijf	five
onthouden	remember
stap	step
vroeg	early
grond	ground
rente	interest
bereiken	reach
werkwoord	verb
zingen	sing
luisteren	listen
zes	six
tafel	table
reizen	travel
minder	less
ochtend	morning
tien	ten
eenvoudig	simply
verscheidene	various
klinker	vowel
oorlog	war
tegen	against
patroon	sponsor
langzaam	slowly
centrum	centre
liefde	love
persoon	person
geld	money
dienen	serve
verschijnen	appear
weg	way
kaart	map
regen	rain
regel	rule
regeren	govern
trek	trait
koude	cold
stem	voice
energie	energy
waarschijnlijk	probably
bedden	beds
broer	brother
ei	egg
cel	cell
geloven	believe
misschien	perhaps
plotseling	sudden
tellen	count
reden	reason
lengte	length
vertegenwoordigen	represent
kunst	art
onderwerp	topic
regio	region
grootte	magnitude
variëren	vary
vestigen	establish
spreken	speak
gewicht	weight
algemeen	universal
ijs	ice
aangelegenheid	matter
cirkel	circle
paar	pair
omvatten	comprise
kloof	gorge
lettergreep	syllable
bal	sphere
hart	heart
aanwezig	present
zwaar	heavy
dans	dance
motor	motorbike
positie	position
arm	poor
breed	wide
zeil	sail
materiaal	material
fractie	fraction
bos	wood
zitten	sit
ras	race
venster	window
winkel	store
zomer	summer
trein	train
slaap	temple
bewijzen	prove
been	leg
oefening	exercise
muur	wall
vangst	catch
wensen	wishes
hemel	sky
boord	rim
vreugde	joy
zat	drunk
wild	wild
instrument	instrument
glas	glass
gras	grass
koe	cow
teken	sign
bezoek	visit
verleden	past
lol	fun
gas	gas
maand	month
miljoen	million
hopen	hope
bloem	flower
kleden	dress
vreemd	strange
handel	trade
melodie	tune
reis	voyage
kantoor	office
ontvangen	receive
rij	row
mond	mouth
symbool	symbol
sterven	die
problemen	problems
schreeuw	shout
behalve	except
schreef	wrote
zaad	sperm
toon	tone
suggereren	suggest
schoon	clean
dame	queen
stijgen	rise
slecht	wicked
klap	smack
olie	oil
bloed	blood
aanraken	touch
procent	percent
mengen	mix
draad	wire
kosten	cost
verloren	lost
bruin	brown
tuin	garden
kiezen	pick
passen	fit
eerlijk	honestly
bank	sofa
verzamelen	gather
besparen	spare
decimaal	decimal
oor	ear
anders	otherwise
heel	whole
brak	brackish
geval	instance
midden	midst
doden	kill
zoon	son
momenteel	current
schaal	scale
luid	loud
voorjaar	spring
waarnemen	perceive
kind	kid
medeklinker	consonant
natie	nation
woordenboek	dictionary
melk	milk
snelheid	speed
methode	method
orgel	organ
betalen	pay
leeftijd	age
kleding	wear
wolk	cloud
verrassing	surprise
rustig	tranquil
steen	stone
minuscuul	minuscule
klimmen	climb
ontwerp	design
onderzijde	underside
sleutel	key
ijzer	iron
stok	stick
flat	flat
twintig	twenty
huid	skin
glimlach	smile
vouw	fold
gat	hole
springen	spring
kindje	infant
acht	eight
dorp	village
ontmoeten	meet
wortel	root
kopen	purchase
verhogen	raise
metalen	metal
zeven	seven
paragraaf	paragraph
derde	third
beschrijven	describe
kok	cook
vloer	floor
ofwel	either
resultaat	result
verbranden	burn
veilig	sure
kat	cat
eeuw	century
overwegen	consider
wet	law
beetje	bit
kust	shore
kopie	copy
stil	still
zand	sand
bodem	soil
rol	part
temperatuur	temperature
vinger	finger
industrie	industry
waarde	worth
strijd	struggle
leugen	lie
verslaan	hammer
hoofdstad	capital
stoel	chair
gevaar	hazard
fruit	fruit
rijk	wealthy
soldaat	soldier
proces	process
werken	working
praktijk	practice
apart	unusual
moeilijk	hard
arts	doctor
beschermen	shelter
middag	noon
gewas	crop
onderdeel	subdivision
leerling	pupil
hoek	corner
partij	party
levering	delivery
karakter	character
insecten	insects
gevangen	caught
periode	period
atoom	atom
menselijk	human
geschiedenis	history
verwachten	expect
bot	bone
spoor	trail
bieden	offer
instemmen	agree
vrouw	woman
kapitein	master
noodzakelijk	necessary
vleugel	wing
creëren	create
buurman	neighbour
wassen	wax
vleermuis	bat
eerder	sooner
menigte	multitude
maïs	maize
vergelijken	compare
gedicht	poem
koord	rope
afhangen	depend
vlees	meat
wrijven	rub
buis	tube
stroom	current
angst	fear
zicht	sight
dun	thin
driehoek	triangle
planeet	planet
haast	nearly
kolonie	colony
klok	clock
stropdas	tie
voeren	feed
vers	verse
zoeken	seek
sturen	steer
geel	yellow
pistool	pistol
toelaten	permit
afdrukken	print
dood	death
plek	place
woestijn	desert
pak	suit
lift	lift
aankomen	arrive
meester	master
ouder	parent
oever	bank
divisie	league
blad	sheet
stof	material
gunst	favour
aansluiten	connect
post	mail
besteden	spend
akkoord	treaty
vet	greasy
blij	joyful
origineel	original
aandeel	share
station	station
brood	bread
rekenen	reckon
behoorlijk	significant
bar	rude
aanbod	offer
slaaf	slave
eend	duck
markt	mart
graad	grade
kuiken	chick
vijand	foe
antwoorden	answer
drankje	drink
voorkomen	prevent
ondersteuning	support
spraak	speech
natuur	nature
reeks	series
stoom	steam
beweging	movement
pad	trail
vloeistof	liquid
tanden	teeth
schelp	shell
nek	neck
zuurstof	oxygen
suiker	sugar
vrij	vacant
vaardigheid	skill
vrouwen	women
seizoen	season
oplossing	solution
magneet	magnet
zilver	silver
dank	thanks
tak	twig
wedstrijd	match
vooral	particularly
vijg	fig
bang	scared
reusachtig	stupendous
zus	sister
staal	steel
bespreken	discuss
vooruit	upfront
begeleiden	guide
ervaring	experience
appel	apple
gekocht	purchased
toonhoogte	pitch
massa	mass
touw	string
dromen	dream
avond	evening
voorwaarde	condition
voer	feed
gereedschap	tools
totaal	total
geur	smell
dal	valley
noch	neither
dubbel	double
blokkeren	block
grafiek	graph
hoed	hat
verkopen	sell
succes	success
bedrijf	plant
aftrekken	subtract
bijzonder	special
zwemmen	swim
termijn	term
schoen	shoe
schouder	shoulder
regelen	arrange
kamp	struggle
uitvinden	invent
katoen	cotton
geboren	born
bepalen	stipulate
negen	nine
vrachtwagen	van
niveau	level
kans	chance
gooien	toss
glans	gloss
pand	premises
column	column
molecuul	molecule
selecteren	select
mis	Mass
grijs	grey
vereisen	require
bereiden	prepare
zout	salt
neus	nose
meervoud	plural
woede	rage
werelddeel	continent
oksel	armpit
